80	108	A
37	113	A
32	111	A
58	119	A
58	119	A
52	101	A
52	107	A
31	65	A
45	115	A
83	117	A
84	300	A
44	115	A
63	297	A
72	120	A
41	132	A
88	300	A
68	120	A
83	287	A
87	297	A
14	112	A
70	292	A
68	95	A
83	110	A
67	293	A
85	295	A
78	302	A
88	302	A
85	124	A
78	124	A
88	113	A
85	110	A
62	121	A
77	116	A
75	120	A
66	133	A
84	127	A
70	110	A
75	107	A
79	112	A
62	109	A
80	120	A
48	133	A
60	180	A
83	330	A
86	118	A
85	78	A
85	130	A
45	138	A
79	294	A
85	123	A
54	123	A
80	108	A
69	104	A
57	120	A
85	89	A
65	111	A
55	112	A
86	87	A
58	117	A
55	252	A
80	265	A
70	120	A
60	133	A
85	109	A
63	118	A
16	185	B
12	154	B
50	145	B
62	141	B
43	141	B
83	140	B
28	138	B
22	136	B
40	136	B
52	133	B
2	156	B
52	130	B
32	129	B
52	129	B
34	127	B
72	127	B
28	125	B
32	125	B
89	125	B
47	124	B
18	118	B
27	116	B
39	116	B
70	116	B
87	118	B
14	115	B
21	115	B
24	113	B
64	112	B
22	111	B
30	102	B
16	80	B
13	71	B
3	32	B
6	20	B
9	14	B
29	6	B
14	351	B
35	343	B
15	338	B
28	333	B
30	323	B
87	323	B
70	320	B
7	320	B
66	317	B
85	314	B
29	314	B
59	311	B
62	311	B
83	310	B
79	309	B
75	309	B
20	309	B
81	306	B
24	306	B
69	304	B
87	303	B
81	301	B
90	297	B
90	296	B
44	293	B
12	239	B
9	1	B
