-5	12	A
-1	17	A
-10	9	A
8	342	A
31	348	A
0	12	A
8	0	A
-7	4	A
-13	2	A
5	4	A
-7	4	A
5	15	A
-1	2	A
-12	353	A
11	350	A
3	9	A
15	355	A
3	344	A
-13	329	A
0	2	A
-9	359	A
0	12	A
-11	10	A
-13	14	A
0	12	A
1	13	A
3	353	A
10	3	A
12	4	A
15	347	A
-6	2	A
-13	7	A
-17	354	A
25	4	A
0	4	A
-9	26	B
-8	16	B
0	24	B
-26	12	B
-12	11	B
-4	33	B
1	340	B
-4	336	B
5	28	B
6	18	B
0	27	B
5	19	B
10	16	B
0	15	B
-20	20	B
-1	35	B
-7	12	B
-12	22	B
-4	21	B
-7	24	B
-14	26	B
-14	29	B
0	16	B
-4	31	B
-5	44	B
7	35	B
0	33	B
0	22	B
-4	30	B
25	16	B
15	18	B
0	13	B
0	9	B
-18	11	B
-1	30	B
0	23	B
-17	26	B
0	98	B
0	17	B
-35	12	B
12	12	B
19	24	B
